Date,AA,AAPL,AXP,BA,CAT,CSCO,DD,DIS,EK,FDX,GE,GT,HPQ,IBM,IP,JNJ,JPM,KO,MCD,MMM,MO,MRK,MSFT,PG,T,UTX,WMT
Jan-2004,-0.101,0.055,0.075,-0.009,-0.055,0.061,-0.043,0.029,0.107,-0.003,0.086,0.209,0.036,0.071,-0.019,0.034,0.069,-0.030,0.037,-0.070,0.021,0.030,0.010,0.017,-0.011,0.008,0.015
Feb-2004,0.101,0.060,0.031,0.043,-0.030,-0.099,0.035,0.105,0.005,0.021,-0.027,-0.114,-0.045,-0.026,0.053,0.013,0.055,0.015,0.099,-0.009,0.035,0.010,-0.040,0.014,-0.058,-0.032,0.106
Mar-2004,-0.074,0.130,-0.028,-0.053,0.044,0.018,-0.064,-0.058,-0.083,0.095,-0.061,0.014,0.009,-0.048,-0.045,-0.059,0.023,0.012,0.010,0.049,-0.043,-0.074,-0.060,0.023,0.022,-0.063,0.004
Apr-2004,-0.114,-0.047,-0.056,0.039,-0.012,-0.113,0.017,-0.078,-0.015,-0.043,-0.019,0.020,-0.137,-0.040,-0.046,0.065,-0.096,0.005,-0.047,0.056,0.017,0.064,0.048,0.014,0.028,-0.001,-0.045
May-2004,0.023,0.088,0.036,0.078,-0.031,0.070,0.014,0.019,0.025,0.023,0.039,-0.001,0.078,0.007,0.046,0.036,-0.020,0.015,-0.030,-0.018,-0.133,0.006,0.004,0.019,-0.048,-0.015,-0.020
Jun-2004,0.056,0.160,0.015,0.115,0.054,0.059,0.028,0.086,0.031,0.111,0.047,0.045,-0.003,-0.005,0.066,0.000,0.052,-0.012,-0.015,0.064,0.058,0.012,0.089,0.010,0.023,0.081,-0.058
Jul-2004,-0.030,-0.006,-0.022,-0.006,-0.070,-0.117,-0.035,-0.094,-0.018,0.002,0.026,0.205,-0.045,-0.012,-0.033,-0.008,-0.029,-0.131,0.057,-0.085,-0.049,-0.045,-0.003,-0.038,0.059,0.022,0.010
Aug-2004,0.016,0.067,-0.005,0.033,-0.011,-0.103,-0.006,-0.027,0.117,0.001,-0.014,0.003,-0.112,-0.025,-0.069,0.056,0.060,0.019,-0.017,0.005,0.028,-0.008,-0.039,0.073,0.018,0.008,-0.004
Sep-2004,0.038,0.123,0.029,-0.011,0.106,-0.035,0.013,0.004,0.089,0.046,0.030,-0.022,0.053,0.012,0.010,-0.030,0.004,-0.099,0.037,-0.029,-0.024,-0.260,0.013,-0.033,0.006,-0.006,0.010
Oct-2004,-0.033,0.352,0.034,-0.033,0.006,0.061,0.002,0.118,-0.053,0.063,0.016,-0.061,-0.005,0.047,-0.047,0.036,-0.020,0.015,0.040,-0.030,0.030,-0.051,0.011,-0.050,-0.015,-0.006,0.013
