Maturity,Coupon,Bid,Asked,Chg,Asked Yield
2/15/2017,0.625,100.0078,100.0234,-0.0078,-0.332
2/15/2017,4.625,100.1094,100.125,-0.0234,-0.475
2/28/2017,0.5,100.0078,100.0234,0.0078,0.114
2/28/2017,0.875,100.0313,100.0469,0.0078,0.103
2/28/2017,3,100.1563,100.1719,-0.0078,0.169
3/15/2017,0.75,100.0313,100.0469,0.0078,0.291
3/31/2017,0.5,100,100.0156,0.0078,0.392
3/31/2017,1,100.0703,100.0859,-0.0156,0.408
3/31/2017,3.25,100.3906,100.4063,-0.0156,0.453
4/15/2017,0.875,100.0547,100.0703,-0.0156,0.497
4/30/2017,0.5,99.9844,100,-0.0156,0.5
4/30/2017,0.875,100.0781,100.0938,-0.0078,0.465
4/30/2017,3.125,100.5859,100.6016,-0.0234,0.495
5/15/2017,0.875,100.1016,100.1172,0.0078,0.441
5/15/2017,4.5,101.0703,101.0859,-0.0234,0.479
5/15/2017,8.75,102.2031,102.2188,-0.0625,0.532
5/31/2017,0.625,100.0313,100.0469,0.0234,0.475
5/31/2017,2.75,100.7031,100.7188,0.0078,0.45
6/15/2017,0.875,100.125,100.1406,0.0313,0.477
6/30/2017,0.625,100.0313,100.0469,0.0313,0.507
6/30/2017,0.75,100.0781,100.0938,0.0234,0.514
6/30/2017,2.5,100.7578,100.7734,unch.,0.55
7/15/2017,0.875,100.125,100.1406,0.0234,0.554
7/31/2017,0.5,99.9297,99.9453,-0.0078,0.613
7/31/2017,0.625,100,100.0156,0.0156,0.593
7/31/2017,2.375,100.8359,100.8516,unch.,0.608
8/15/2017,4.75,102.1406,102.1563,-0.0078,0.625
8/15/2017,8.875,104.2656,104.2813,-0.0469,0.683
8/31/2017,0.625,99.9844,100,0.0156,0.625
8/31/2017,1.875,100.6875,100.7031,0.0078,0.617
9/15/2017,1,100.1797,100.1953,-0.0078,0.674
9/30/2017,0.625,99.9375,99.9531,unch.,0.698
9/30/2017,1.875,100.75,100.7656,-0.0078,0.684
10/15/2017,0.875,100.0781,100.0938,-0.0156,0.738
10/31/2017,0.75,99.9844,100,-0.0156,0.75
10/31/2017,1.875,100.7969,100.8125,-0.0313,0.755
11/15/2017,0.875,100.0938,100.1094,0.0078,0.732
11/15/2017,4.25,102.6719,102.6875,-0.0156,0.745
11/30/2017,0.625,99.8672,99.8828,unch.,0.77
11/30/2017,0.875,100.0781,100.0938,-0.0078,0.759
11/30/2017,2.25,101.1797,101.1953,-0.0234,0.772
12/15/2017,1,100.1719,100.1875,0.0078,0.779
12/31/2017,0.75,99.9141,99.9297,unch.,0.829
12/31/2017,1,100.1484,100.1641,0.0078,0.816
12/31/2017,2.75,101.7031,101.7188,-0.0156,0.824
1/15/2018,0.875,100.0156,100.0313,unch.,0.841
1/31/2018,0.75,99.8906,99.9063,unch.,0.846
1/31/2018,0.875,100.0078,100.0234,-0.0156,0.851
1/31/2018,2.625,101.6953,101.7109,-0.0391,0.874
2/15/2018,1,100.1172,100.1328,-0.0156,0.869
2/15/2018,3.5,102.6406,102.6563,-0.0391,0.889
2/28/2018,0.75,99.8438,99.8594,-0.0313,0.883
2/28/2018,2.75,101.9219,101.9375,-0.0469,0.91
3/15/2018,1,100.1094,100.125,0.0078,0.886
3/31/2018,0.75,99.7891,99.8047,-0.0156,0.922
3/31/2018,0.875,99.9375,99.9531,unch.,0.916
3/31/2018,2.875,102.2266,102.2422,-0.0156,0.903
4/15/2018,0.75,99.7656,99.7813,-0.0156,0.936
4/30/2018,0.625,99.5859,99.6016,-0.0156,0.952
4/30/2018,0.75,99.7578,99.7734,-0.0078,0.936
4/30/2018,2.625,102,102.0156,-0.0469,0.971
5/15/2018,1,100.0234,100.0391,-0.0313,0.969
5/15/2018,3.875,103.6797,103.6953,-0.0469,0.942
5/15/2018,9.125,110.25,110.2656,-0.0938,0.974
5/31/2018,0.875,99.8594,99.875,-0.0234,0.971
5/31/2018,1,100.0078,100.0234,-0.0234,0.982
5/31/2018,2.375,101.8047,101.8203,-0.0234,0.976
6/15/2018,1.125,100.1719,100.1875,-0.0234,0.985
6/30/2018,0.625,99.4844,99.5,-0.0078,0.986
6/30/2018,1.375,100.5313,100.5469,unch.,0.98
6/30/2018,2.375,101.8828,101.8984,-0.0234,1.004
7/15/2018,0.875,99.8125,99.8281,unch.,0.996
7/31/2018,0.75,99.6016,99.6172,0.0078,1.011
7/31/2018,1.375,100.5078,100.5234,0.0156,1.019
7/31/2018,2.25,101.7813,101.7969,-0.0156,1.026
8/15/2018,1,99.9531,99.9688,0.0078,1.021
8/15/2018,4,104.5156,104.5313,-0.0469,0.997
8/31/2018,0.75,99.5078,99.5234,-0.0078,1.059
8/31/2018,1.5,100.6484,100.6641,-0.0078,1.07
9/15/2018,1,99.8594,99.875,-0.0078,1.079
9/30/2018,0.75,99.4141,99.4297,-0.0156,1.101
9/30/2018,1.375,100.4219,100.4375,-0.0234,1.106
10/15/2018,0.875,99.5859,99.6016,-0.0078,1.114
10/31/2018,0.75,99.3281,99.3438,-0.0078,1.134
10/31/2018,1.25,100.1953,100.2109,unch.,1.126
10/31/2018,1.75,101.0781,101.0938,0.0156,1.109
11/15/2018,1.25,100.1953,100.2109,0.0156,1.129
11/15/2018,3.75,104.5703,104.5859,-0.0313,1.126
11/15/2018,9,113.9453,113.9609,-0.0469,1.022
11/30/2018,1,99.7031,99.7188,-0.0078,1.157
11/30/2018,1.25,100.1406,100.1563,-0.0156,1.162
11/30/2018,1.375,100.3672,100.3828,-0.0313,1.161
12/15/2018,1.25,100.1484,100.1641,unch.,1.16
