PERMNO,date,TICKER,PRC,SHROUT
10107,20130131,MSFT,27.45000,8376245
10107,20130228,MSFT,27.80000,8376245
10107,20130328,MSFT,28.60500,8349000
10107,20130430,MSFT,33.10000,8351107
10107,20130531,MSFT,34.90000,8351107
10107,20130628,MSFT,34.54500,8328000
10107,20130731,MSFT,31.84000,8329956
10107,20130830,MSFT,33.40000,8329956
10107,20130930,MSFT,33.28000,8346000
10107,20131031,MSFT,35.40500,8347968
10107,20131129,MSFT,38.13000,8347968
10107,20131231,MSFT,37.41000,8347968
10299,20130131,LLTC,36.62000,232565
10299,20130228,LLTC,38.25000,232565
10299,20130328,LLTC,38.37000,233226
10299,20130430,LLTC,36.50000,233255
10299,20130531,LLTC,37.52500,233255
10299,20130628,LLTC,36.84000,233025
10299,20130731,LLTC,40.55500,233196
10299,20130830,LLTC,38.33000,233196
10299,20130930,LLTC,39.66000,233882
10299,20131031,LLTC,41.15500,234163
10299,20131129,LLTC,42.55000,234163
10299,20131231,LLTC,45.55000,234163
10696,20130131,FISV,80.31000,133400
10696,20130228,FISV,82.24000,133504
10696,20130328,FISV,87.86000,133200
10696,20130430,FISV,91.11000,133163
10696,20130531,FISV,87.16000,133163
10696,20130628,FISV,87.41000,131100
10696,20130731,FISV,96.24000,130090
10696,20130830,FISV,96.27000,130090
10696,20130930,FISV,101.05000,129300
10696,20131031,FISV,104.73000,128969
10696,20131129,FISV,109.89000,128969
10696,20131231,FISV,59.05000,257938
10909,20130131,CERN,82.55000,172089
10909,20130228,CERN,87.46000,172208
10909,20130328,CERN,94.74000,171830
10909,20130430,CERN,96.77000,171879
10909,20130531,CERN,98.16000,171879
10909,20130628,CERN,96.09000,171554
10909,20130731,CERN,49.00000,343108
10909,20130830,CERN,46.06000,343108
10909,20130930,CERN,52.55000,343156
10909,20131031,CERN,56.03000,343263
10909,20131129,CERN,57.47000,343263
10909,20131231,CERN,55.74000,343263
11552,20130131,CELG,98.96000,419752
11552,20130228,CELG,103.27000,418744
11552,20130328,CELG,115.91000,418100
11552,20130430,CELG,118.07000,417122
11552,20130531,CELG,123.65000,417122
11552,20130628,CELG,116.98000,411200
11552,20130731,CELG,146.86000,411276
11552,20130830,CELG,139.98000,411276
11552,20130930,CELG,154.13699,412070
11552,20131031,CELG,148.49001,412070
11552,20131129,CELG,161.77000,412070
11552,20131231,CELG,168.96800,412070
11618,20130131,FAST,49.68000,296564
11618,20130228,FAST,51.63000,296635
11618,20130328,FAST,51.33000,296686
11618,20130430,FAST,49.05000,296687
11618,20130531,FAST,52.18000,296687
11618,20130628,FAST,45.79000,296860
11618,20130731,FAST,49.03000,296868
11618,20130830,FAST,43.99000,296868
11618,20130930,FAST,50.27000,296742
11618,20131031,FAST,49.83000,296742
11618,20131129,FAST,46.53000,296742
11618,20131231,FAST,47.51000,296742
11896,20130131,MXIM,31.45000,292478
11896,20130228,MXIM,31.20000,292478
11896,20130328,MXIM,32.64000,291072
11896,20130430,MXIM,30.93000,291072
11896,20130531,MXIM,29.49000,291072
11896,20130628,MXIM,27.78000,287620
11896,20130731,MXIM,28.60500,287620
11896,20130830,MXIM,27.84500,284888
11896,20130930,MXIM,29.82000,282579
11896,20131031,MXIM,29.69500,282579
11896,20131129,MXIM,28.48000,282579
11896,20131231,MXIM,27.90000,282579
12084,20130131,NXPI,30.00000,251752
12084,20130228,NXPI,32.32000,251752
